id,category,relative_path,source_path,extension,size_bytes,size_human,converted_exists,chunked_exists,status,indexed_at
240,Systems_Thinking,Systems_Thinking/Philosophy/The Ethics of Aristotle.pdf,D:\Books\Systems_Thinking\Philosophy\The Ethics of Aristotle.pdf,.pdf,1741173,1.7 MB,True,False,converted,2026-03-20T15:19:38
241,Systems_Thinking,Systems_Thinking/Philosophy/The Story of Philosophy.epub,D:\Books\Systems_Thinking\Philosophy\The Story of Philosophy.epub,.epub,2892477,2.8 MB,True,True,chunked,2026-03-20T15:19:38
25,Systems_Thinking,Systems_Thinking/Product Leadership How Top Product Managers Launch Awesome Products and Build Successful Teams.pdf,D:\Books\Systems_Thinking\Product Leadership How Top Product Managers Launch Awesome Products and Build Successful Teams.pdf,.pdf,11305842,10.8 MB,True,False,converted,2026-03-20T15:19:37
26,Systems_Thinking,Systems_Thinking/Reinventing Organization.pdf,D:\Books\Systems_Thinking\Reinventing Organization.pdf,.pdf,6970064,6.6 MB,False,False,pending,2026-03-20T15:19:37
27,Systems_Thinking,Systems_Thinking/Running Lean Iterate from Plan A to a Plan That Works.pdf,D:\Books\Systems_Thinking\Running Lean Iterate from Plan A to a Plan That Works.pdf,.pdf,8908985,8.5 MB,False,False,pending,2026-03-20T15:19:37
242,Systems_Thinking,Systems_Thinking/Self/The Anger Management Sourcebook.pdf,D:\Books\Systems_Thinking\Self\The Anger Management Sourcebook.pdf,.pdf,10846062,10.3 MB,False,False,pending,2026-03-20T15:19:38
28,Systems_Thinking,Systems_Thinking/Systems Analysis and Design.pdf,D:\Books\Systems_Thinking\Systems Analysis and Design.pdf,.pdf,39536095,37.7 MB,False,False,pending,2026-03-20T15:19:37
29,Systems_Thinking,"Systems_Thinking/Systems Thinking, Third Edition Managing Chaos and Complexity A Platform for Designing Business Architecture.pdf","D:\Books\Systems_Thinking\Systems Thinking, Third Edition Managing Chaos and Complexity A Platform for Designing Business Architecture.pdf",.pdf,4195043,4.0 MB,False,False,pending,2026-03-20T15:19:37
30,Systems_Thinking,Systems_Thinking/The Agile Enterprise Building and Running Agile Organizations.pdf,D:\Books\Systems_Thinking\The Agile Enterprise Building and Running Agile Organizations.pdf,.pdf,7423572,7.1 MB,False,False,pending,2026-03-20T15:19:37
31,Systems_Thinking,"Systems_Thinking/The Art Of Thinking In Systems Improve Your Logic, Think More Critically, And Use Proven Systems To Solve Your Problems - Strategic Planning For Everyday Life.pdf","D:\Books\Systems_Thinking\The Art Of Thinking In Systems Improve Your Logic, Think More Critically, And Use Proven Systems To Solve Your Problems - Strategic Planning For Everyday Life.pdf",.pdf,602471,588.4 KB,False,False,pending,2026-03-20T15:19:37
32,Systems_Thinking,Systems_Thinking/The Fifth Discipline.pdf,D:\Books\Systems_Thinking\The Fifth Discipline.pdf,.pdf,3743721,3.6 MB,False,False,pending,2026-03-20T15:19:37
33,Systems_Thinking,Systems_Thinking/The Intersection of Change Management and Lean Six Sigma The Basics for Black Belts and Change Agents.pdf,D:\Books\Systems_Thinking\The Intersection of Change Management and Lean Six Sigma The Basics for Black Belts and Change Agents.pdf,.pdf,4933747,4.7 MB,False,False,pending,2026-03-20T15:19:37
34,Systems_Thinking,Systems_Thinking/The Lean Book of Lean A Concise Guide to Lean Management for Life and Business.pdf,D:\Books\Systems_Thinking\The Lean Book of Lean A Concise Guide to Lean Management for Life and Business.pdf,.pdf,1505280,1.4 MB,False,False,pending,2026-03-20T15:19:37
35,Systems_Thinking,"Systems_Thinking/Thinking in Systems _ International Bestseller -- Donella H_ Meadows; edited by Diana Wright -- Lightning Source Inc_ (Tier 1), White River Junction, -- 9781603580557 -- d59592004bb766dd307cf28ae15fdbcf -- Anna’s Archiv.pdf","D:\Books\Systems_Thinking\Thinking in Systems _ International Bestseller -- Donella H_ Meadows; edited by Diana Wright -- Lightning Source Inc_ (Tier 1), White River Junction, -- 9781603580557 -- d59592004bb766dd307cf28ae15fdbcf -- Anna’s Archiv.pdf",.pdf,8774676,8.4 MB,False,False,pending,2026-03-20T15:19:37
36,Systems_Thinking,Systems_Thinking/User Stories Applied.pdf,D:\Books\Systems_Thinking\User Stories Applied.pdf,.pdf,1708334,1.6 MB,False,False,pending,2026-03-20T15:19:37
252,UVA,UVA/ISSS4063/EPUB_CONVERSION_GUIDE.md,D:\Books\UVA\ISSS4063\EPUB_CONVERSION_GUIDE.md,.md,13192,12.9 KB,False,False,pending,2026-03-20T15:19:38
254,UVA,"UVA/ISSS4063/Fear And Loathing In America_ The Brutal Odyssey of an -- Hunter S_ Thompson; foreword by David Halberstam; edited by -- Simon & Schuster, New York, -- 9780684873152 -- 1eab0e160af415c177da0bc2ae8fe6aa -- Anna’s Archive.pdf","D:\Books\UVA\ISSS4063\Fear And Loathing In America_ The Brutal Odyssey of an -- Hunter S_ Thompson; foreword by David Halberstam; edited by -- Simon & Schuster, New York, -- 9780684873152 -- 1eab0e160af415c177da0bc2ae8fe6aa -- Anna’s Archive.pdf",.pdf,30853984,29.4 MB,False,False,pending,2026-03-20T15:19:38
283,UVA,UVA/ISSS4063/Fear and Loathing in America Text/Fear_and_Loathing_in_America_Part1_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in America Text\Fear_and_Loathing_in_America_Part1_of_3.txt,.txt,652728,637.4 KB,False,False,pending,2026-03-20T15:19:38
284,UVA,UVA/ISSS4063/Fear and Loathing in America Text/Fear_and_Loathing_in_America_Part2_of_3.txt,D:\Books\UVA\ISSS4063\Fear and Loathing in America Text\Fear_and_Loathing_in_America_Part2_of_3.txt,.txt,653195,637.9 KB,False,False,pending,2026-03-20T15:19:38
